brand,mm,aperture,port,gearsleeve
Tokina,10-17,f3.5-4.5,L-LD/6012,N/A
Tokina,11-16,f2.8 AT-X Pro DX II,L-LP/100 • L-LD/4512 plus LSP/40,GS 11-16 f2.8
Tokina,11-20,f2.8 AT-X Pro DX,L-LP/100 • L-LD/4512 plus LSP/40,Please Inquire
Tokina,12-28,f4.0 AT-X Pro DX,L-LP/100 • L-LD/4512 plus LSP/40,Please Inquire
