brand,mm,aperture,port,addon,gearsleeve,publish
Tokina,10 -17,f3.5-4.5,L-LD-6012,,N/A,hide
Tokina,11-16,f2.8 AT-X Pro DX II,L-LP-100,,GS 11-16 f2.8,show
Tokina,11-16,f2.8 AT-X Pro DX II,L-LD-4512,L-SP-40,GS 11-16 f2.8,hide
Tokina,11-20,f2.8 AT-X Pro DX,L-LP-100,,Please Inquire,show
Tokina,11-20,f2.8 AT-X Pro DX,L-LD-4512,L-SP-40,Please Inquire,hide
Tokina,12-28,f4.0 AT-X Pro DX,L-LP-100,,Please Inquire,show
Tokina,12-28,f4.0 AT-X Pro DX,L-LD-4512,L-SP-40,Please Inquire,hide
