brand,mm,aperture,port,gearsleeve,publish
Samyang fisheye v.1,8,f2.8,S-LD-4310,,hide
Samyang fisheye v.2,8,f2.8,S-LD-4910,,show
Samyang fisheye v.2,8,f2.8,S-LD-4916,,show
Zeiss Touit 'E' mount,32,f1.8,S-LP-55,,show
Meike Fisheye Lens for Sony,6.5,f2.0,S-LD-4310,,hide
